file_name,caller_transcript
call_d0442c9e97b7.wav,
call_d60330be1b1f.wav,"No me gusta, pero no me gusta, pero no haya lo que pasa. Bueno pero no siento que tienes algo genial. Vamos a ver bien tus amigos que los達ished a los queridos你們."
call_29fddbedd6a4.wav,
call_ee227bc9d7ac.wav,"Pero no hay cero sin cocieten, precocho o no dos. No hay cero sin cocieten, precocho o no dos. No hay cero sin cocieten, precocho o no dos. No hay cero sin cocieten, precocho o no dos. Cero sin cocieten, precocho o no dos. No hay cero sin cocieten, precocho o no dos. No hay cero sin cocieten, precocho o no dos."
call_181a5049ecae.wav,
call_8a3996f823e4.wav,¿Qué es el que te ha dicho?
call_d88d3c23953c.wav,
call_1ba56b3cce45.wav,
call_eb1c9a5a2c08.wav,
call_df3e278ab7fe.wav,
call_c647ee088162.wav,
call_58a0f7394bc3.wav,
call_7b1e73c133f8.wav,
call_d9b9c625f406.wav,"Hay que tener un 6, 6, 5, 5, 5, 6, 7, 7, 7, 7, 7..."
call_af9ad367dcce.wav,"Por qué? No. No. No. No, no, no, no. No. No. No. No, no, no. No. No, no. No."
call_893d552b156a.wav,"¿Ahora usted sabe qué? Quiero que no. ¿Me parece algo? Vamos, vamos, vamos, vamos, vamos, vamos, vamos, vamos... Vamos... Vamos, vamos, vamos, vamos, vamos, vamos..."
call_e31bf946a8fa.wav,No ha sido el que se ha pasado. No ha sido el que se ha pasado. No ha sido el que se ha pasado.
call_06b5a78ea12e.wav,¡Pero que no me pese a ver! ¡Pero que no me pese a ver! ¡Pero que no me pese a ver!
call_be72006df132.wav,
call_0e1e2f29bfdc.wav,
call_16581bcbc272.wav,¿Sara no me lo que es? ¿Todo qué? ¿A qué? ¿A qué? ¿A qué?
call_fb1405943fed.wav,"¡No atana! No hay de perros, sin cocineros. Pero se le cuane, el mundo te talcere, o no es un talo que hizo por mi quiniente, se le aceramos. ¡Late, lago! ¡Late, lago! ¡Losentedos me deciste en muchos ojos! ¡Vamos a ver! Gracias."
