file_name,caller_transcript,intent,sentiment
call_d0442c9e97b7.wav,,otro_general,neutro
call_d60330be1b1f.wav,"No me gusta, pero no me gusta, pero no haya lo que pasa. Bueno pero no siento que tienes algo genial. Vamos a ver bien tus amigos que los達ished a los queridos你們.",otro_general,positivo
call_29fddbedd6a4.wav,,otro_general,neutro
call_ee227bc9d7ac.wav,"Pero no hay cero sin cocieten, precocho o no dos. No hay cero sin cocieten, precocho o no dos. No hay cero sin cocieten, precocho o no dos. No hay cero sin cocieten, precocho o no dos. Cero sin cocieten, precocho o no dos. No hay cero sin cocieten, precocho o no dos. No hay cero sin cocieten, precocho o no dos.",otro_general,neutro
call_181a5049ecae.wav,,otro_general,neutro
call_8a3996f823e4.wav,¿Qué es el que te ha dicho?,otro_general,neutro
call_d88d3c23953c.wav,,otro_general,neutro
call_1ba56b3cce45.wav,,otro_general,neutro
call_eb1c9a5a2c08.wav,,otro_general,neutro
call_df3e278ab7fe.wav,,otro_general,neutro
call_c647ee088162.wav,,otro_general,neutro
call_58a0f7394bc3.wav,,otro_general,neutro
call_7b1e73c133f8.wav,,otro_general,neutro
call_d9b9c625f406.wav,"Hay que tener un 6, 6, 5, 5, 5, 6, 7, 7, 7, 7, 7...",otro_general,neutro
call_af9ad367dcce.wav,"Por qué? No. No. No. No, no, no, no. No. No. No. No, no, no. No. No, no. No.",otro_general,neutro
call_893d552b156a.wav,"¿Ahora usted sabe qué? Quiero que no. ¿Me parece algo? Vamos, vamos, vamos, vamos, vamos, vamos, vamos, vamos... Vamos... Vamos, vamos, vamos, vamos, vamos, vamos...",otro_general,neutro
call_e31bf946a8fa.wav,No ha sido el que se ha pasado. No ha sido el que se ha pasado. No ha sido el que se ha pasado.,otro_general,neutro
call_06b5a78ea12e.wav,¡Pero que no me pese a ver! ¡Pero que no me pese a ver! ¡Pero que no me pese a ver!,otro_general,neutro
call_be72006df132.wav,,otro_general,neutro
call_0e1e2f29bfdc.wav,,otro_general,neutro
call_16581bcbc272.wav,¿Sara no me lo que es? ¿Todo qué? ¿A qué? ¿A qué? ¿A qué?,otro_general,neutro
call_fb1405943fed.wav,"¡No atana! No hay de perros, sin cocineros. Pero se le cuane, el mundo te talcere, o no es un talo que hizo por mi quiniente, se le aceramos. ¡Late, lago! ¡Late, lago! ¡Losentedos me deciste en muchos ojos! ¡Vamos a ver! Gracias.",otro_general,positivo
call_5273f6be303c.wav,"¡Adiós, me voy a hacer un poco! ¡Me voy a desvarnos! ¡Dame todo!",otro_general,neutro
call_d17b2416d506.wav,,otro_general,neutro
call_a381913d938c.wav,"no hay nada calidero Cacón, hay nada calidero Figuiendo el gaso Cacón",otro_general,neutro
call_f68d3459fdc7.wav,,otro_general,neutro
call_76856257e3ef.wav,¡Ahora!,otro_general,neutro
call_8da8b9947630.wav,¿Qué? ¿Ahora que te presentes un año? ¿Qué te presentes? ¿Qué te presentes? ¿Qué es la zona de mañana? ¿Qué te presentes?,otro_general,neutro
call_e697765a4dfd.wav,,otro_general,neutro
call_aed9b45d6c31.wav,,otro_general,neutro
call_794031bf2233.wav,,otro_general,neutro
call_5d86f0ca06aa.wav,¿Para qué son los que nos senten en la década? ¿Para qué son los que nos senten en la década? ¿Para qué son los que nos senten en la década? ¿No te veis que se ha dejado? ¿Sí? ¿Sí? ¿Sí?,otro_general,neutro
call_8ee1e10130a2.wav,,otro_general,neutro
call_f5251fb3b1d9.wav,... ... ... ... ... ... ...,otro_general,neutro
call_a4683528fef4.wav,"No te oracos. No te oracos, quemoros con elatas. No te oracos. Sí, sí. ії. En el momento, én aceitelingado espacio",otro_general,neutro
call_36d72e4b1aef.wav,,otro_general,neutro
call_df75973c8794.wav,,otro_general,neutro
call_58ed2170e352.wav,,otro_general,neutro
call_22eacbc23d18.wav,"de que os he dicho un poco de tu lo que tengo lo que tengo de siempre. Pero no hay un poco que se lo la saca. Quizás deny una masa en el sabido. No hay una masa en el sabido, pero con la manga no se tiene mucho orale. Vale. No le gusta. No me va a ir a retar.",otro_general,neutro
call_fa4d7f2897f4.wav,,otro_general,neutro
call_18bd3c505fd5.wav,,otro_general,neutro
call_b0836ff3142a.wav,,otro_general,neutro
call_bc24a38d8bf2.wav,,otro_general,neutro
call_bda847d77eef.wav,,otro_general,neutro
call_36640e327eaf.wav,"¡Para, a chucada, aquí, aquí, aquí, aquí! ¡Pie! ¡Mána, gracias! ¡Pie, bye!",otro_general,positivo
call_568b5e814bc3.wav,... ¡Ah!,otro_general,neutro
call_22d0f235a47e.wav,¡Tanto se nos gusta al payecer!,otro_general,neutro
