file_name,caller_transcript,intent,sentiment,duration_sec,rms_energy,silence_percentage
call_d0442c9e97b7.wav,,otro_general,neutro,198.38,2506.47,61.41
call_d60330be1b1f.wav,"No me gusta, pero no me gusta, pero no haya lo que pasa. Bueno pero no siento que tienes algo genial. Vamos a ver bien tus amigos que los達ished a los queridos你們.",otro_general,positivo,169.3,1166.3,88.68
call_29fddbedd6a4.wav,,otro_general,neutro,187.52,2306.19,83.21
call_ee227bc9d7ac.wav,"Pero no hay cero sin cocieten, precocho o no dos. No hay cero sin cocieten, precocho o no dos. No hay cero sin cocieten, precocho o no dos. No hay cero sin cocieten, precocho o no dos. Cero sin cocieten, precocho o no dos. No hay cero sin cocieten, precocho o no dos. No hay cero sin cocieten, precocho o no dos.",otro_general,neutro,195.58,917.44,90.63
call_181a5049ecae.wav,,otro_general,neutro,142.42,2011.87,87.38
call_8a3996f823e4.wav,¿Qué es el que te ha dicho?,otro_general,neutro,135.92,2622.85,79.45
call_d88d3c23953c.wav,,otro_general,neutro,166.7,3078.92,81.51
call_1ba56b3cce45.wav,,otro_general,neutro,162.4,822.66,87.65
call_eb1c9a5a2c08.wav,,otro_general,neutro,145.32,1145.25,91.01
call_df3e278ab7fe.wav,,otro_general,neutro,130.4,4131.27,78.84
call_c647ee088162.wav,,otro_general,neutro,137.0,755.8,92.19
call_58a0f7394bc3.wav,,otro_general,neutro,149.58,2949.38,80.42
call_7b1e73c133f8.wav,,otro_general,neutro,124.74,2172.93,87.26
call_d9b9c625f406.wav,"Hay que tener un 6, 6, 5, 5, 5, 6, 7, 7, 7, 7, 7...",otro_general,neutro,160.6,1196.52,89.99
call_af9ad367dcce.wav,"Por qué? No. No. No. No, no, no, no. No. No. No. No, no, no. No. No, no. No.",otro_general,neutro,141.3,3158.74,78.2
call_893d552b156a.wav,"¿Ahora usted sabe qué? Quiero que no. ¿Me parece algo? Vamos, vamos, vamos, vamos, vamos, vamos, vamos, vamos... Vamos... Vamos, vamos, vamos, vamos, vamos, vamos...",otro_general,neutro,152.82,3198.96,84.76
call_e31bf946a8fa.wav,No ha sido el que se ha pasado. No ha sido el que se ha pasado. No ha sido el que se ha pasado.,otro_general,neutro,148.18,1844.46,83.99
call_06b5a78ea12e.wav,¡Pero que no me pese a ver! ¡Pero que no me pese a ver! ¡Pero que no me pese a ver!,otro_general,neutro,133.1,1617.03,78.2
call_be72006df132.wav,,otro_general,neutro,129.74,1867.5,89.39
call_0e1e2f29bfdc.wav,,otro_general,neutro,129.44,878.54,89.82
call_16581bcbc272.wav,¿Sara no me lo que es? ¿Todo qué? ¿A qué? ¿A qué? ¿A qué?,otro_general,neutro,102.54,3086.19,81.9
call_fb1405943fed.wav,"¡No atana! No hay de perros, sin cocineros. Pero se le cuane, el mundo te talcere, o no es un talo que hizo por mi quiniente, se le aceramos. ¡Late, lago! ¡Late, lago! ¡Losentedos me deciste en muchos ojos! ¡Vamos a ver! Gracias.",otro_general,positivo,177.6,974.73,92.43
call_5273f6be303c.wav,"¡Adiós, me voy a hacer un poco! ¡Me voy a desvarnos! ¡Dame todo!",otro_general,neutro,164.14,1116.35,89.96
call_d17b2416d506.wav,,otro_general,neutro,151.16,2354.5,85.45
call_a381913d938c.wav,"no hay nada calidero Cacón, hay nada calidero Figuiendo el gaso Cacón",otro_general,neutro,110.96,3634.35,46.92
call_f68d3459fdc7.wav,,otro_general,neutro,179.88,3442.5,84.07
call_76856257e3ef.wav,¡Ahora!,otro_general,neutro,61.0,1799.67,79.48
call_8da8b9947630.wav,¿Qué? ¿Ahora que te presentes un año? ¿Qué te presentes? ¿Qué te presentes? ¿Qué es la zona de mañana? ¿Qué te presentes?,otro_general,neutro,185.04,732.44,90.72
call_e697765a4dfd.wav,,otro_general,neutro,153.1,3197.63,83.44
call_aed9b45d6c31.wav,,otro_general,neutro,128.58,1788.05,84.79
call_794031bf2233.wav,,otro_general,neutro,155.86,1081.65,56.0
call_5d86f0ca06aa.wav,¿Para qué son los que nos senten en la década? ¿Para qué son los que nos senten en la década? ¿Para qué son los que nos senten en la década? ¿No te veis que se ha dejado? ¿Sí? ¿Sí? ¿Sí?,otro_general,neutro,129.04,2149.88,83.47
call_8ee1e10130a2.wav,,otro_general,neutro,126.94,3273.87,79.22
call_f5251fb3b1d9.wav,... ... ... ... ... ... ...,otro_general,neutro,132.64,1121.15,90.7
call_a4683528fef4.wav,"No te oracos. No te oracos, quemoros con elatas. No te oracos. Sí, sí. ії. En el momento, én aceitelingado espacio",otro_general,neutro,164.78,2504.07,84.93
call_36d72e4b1aef.wav,,otro_general,neutro,142.92,3324.57,80.59
call_df75973c8794.wav,,otro_general,neutro,168.6,1879.97,75.26
call_58ed2170e352.wav,,otro_general,neutro,133.64,944.81,89.52
call_22eacbc23d18.wav,"de que os he dicho un poco de tu lo que tengo lo que tengo de siempre. Pero no hay un poco que se lo la saca. Quizás deny una masa en el sabido. No hay una masa en el sabido, pero con la manga no se tiene mucho orale. Vale. No le gusta. No me va a ir a retar.",otro_general,neutro,160.02,943.38,89.89
call_fa4d7f2897f4.wav,,otro_general,neutro,209.6,1021.59,86.4
call_18bd3c505fd5.wav,,otro_general,neutro,140.96,1721.31,84.34
call_b0836ff3142a.wav,,otro_general,neutro,154.68,3317.02,86.21
call_bc24a38d8bf2.wav,,otro_general,neutro,111.72,765.31,85.44
call_bda847d77eef.wav,,otro_general,neutro,143.5,3336.46,84.77
call_36640e327eaf.wav,"¡Para, a chucada, aquí, aquí, aquí, aquí! ¡Pie! ¡Mána, gracias! ¡Pie, bye!",otro_general,positivo,158.96,856.54,91.48
call_568b5e814bc3.wav,... ¡Ah!,otro_general,neutro,153.6,2638.07,85.87
call_22d0f235a47e.wav,¡Tanto se nos gusta al payecer!,otro_general,neutro,205.3,881.85,92.05
call_97701e543c60.wav,¡No se me intento dar un intoo! ¡No hay un intoo! ¡No hay un intoo! ¡No hay un intoo! ¡No hay un intoo! ¡No hay un intoo! ¡No hay un intoo! ¡No hay un intoo! No hay un intoo,otro_general,neutro,141.52,3593.5,53.85
call_0cf2f4a71328.wav,,otro_general,neutro,159.0,1633.56,79.82
call_9dc1a304389f.wav,,otro_general,neutro,151.48,2726.37,79.3
call_bf0384ed27ed.wav,"Caseo. ¿Cómo se puede decir que se le ha encumado tan? ¿De el que le muere? ¿Cómo me dieron a tocar? ¿Y cuando el consumir es que no le ha dado? ¿Y qué? ¿Y qué? ¿Me lo que es? Si, pero pues, no lo faras sin casión, bien, pasco a choconeras.",otro_general,neutro,166.38,1902.05,84.16
call_acda78859d0d.wav,,otro_general,neutro,148.64,2653.0,85.32
call_fdc44f969ade.wav,,otro_general,neutro,167.5,4440.02,70.84
call_d437831f4543.wav,"La gente que no se va a hacer, es que se va a hacer.",otro_general,neutro,136.78,1541.1,87.46
call_8c6b33721067.wav,", , , , , , , ¡Yita! ¡Acho a la zona una pataquita!",otro_general,neutro,150.88,890.45,83.15
call_064d8dd77899.wav,,otro_general,neutro,140.38,2234.01,85.35
call_a426226cf8b9.wav,"No, no, no, no, no.",otro_general,neutro,139.3,1435.29,83.91
call_f003741555a1.wav,"¿Ey, ¿qué traes? ¿Ele no es que tu suben que te asistro? ¿Pero que yo lo creo que no hay que ver ahí? ¡Ans, ¡en el que te va a ver! ¡Qué he cruzado! La Fiesta de la Talle.",otro_general,neutro,127.34,1440.31,89.08
call_5f7a4b3e8ca9.wav,"Acha acha a los fe, se han ansipaticado. Por favor. Acha a los que no hay, acha a los que no hay, acha a los que no hay, acha a los que no hay. A ver. A ver, a la pata, a la pata, a los que no hay.",otro_general,neutro,111.84,1235.91,85.74
call_957a8384caff.wav,,otro_general,neutro,148.6,2863.4,77.11
call_a2aa58c1750b.wav,La vida de la escala.,otro_general,neutro,137.28,1513.17,86.91
call_c1d95df7a179.wav,"¡No, no, no, no, no, no, no! ¡Vamos! ¡No! ¡Ah! ¡No, no, no, no! ¡No! ¡No, no!",otro_general,neutro,110.5,3054.3,86.42
call_ddf2da1910f1.wav,,otro_general,neutro,97.48,1319.19,84.04
call_3332ecee2806.wav,¡Vamos!,otro_general,neutro,140.2,1120.7,86.5
call_37e63dcc8185.wav,,otro_general,neutro,143.74,3946.52,78.58
call_7a345e2b0f37.wav,,otro_general,neutro,130.96,3048.43,82.84
